 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2026/01/30 16:07
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2023/09/27  07:12:22    117     23    424     489    357      0    -27.9*   -------    -------    117   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/27  07:48:10    270     14    125     199     49      0    -28.4*   -------    -------    268   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/27  11:12:09     22    116    210     214    206    196     -0.3*   -------    -------     36   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/27  16:24:06    147     38    139     116    163    281      2.7*   -------    -------    141   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/27  19:24:05     62     48    183     228    138      0    -10.3*   -------    -------     59   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/27  20:12:10    113     11    439     434    445    484      1.9*   -------    -------    114   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/27  23:12:10    108      9    347     212    468   1030     42.3*   -------    -------    113   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/28  00:35:05    122     26    512     487    538    693      9.9*   -------    -------    115   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/28  01:25:50     46     34    183     216    145      0     -9.2*   -------    -------     39   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/28  03:58:06     54     13    186     144    233    527     10.7*   -------    -------     59   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/28  04:19:06    112     22    535     553    517    377     -6.7*   -------    -------    116   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/28  06:32:05    116     30    396     425    367      0     -8.1*   -------    -------    123   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/28  08:38:05     64     38    205     254    148      0    -12.2*   -------    -------     58   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/28  09:27:06    122     48    455     502    411      0    -14.1*   -------    -------    123   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/28  09:41:06    264     33    193     214    173      0     -6.5*   -------    -------    270   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/28  21:28:05    296     17    600     531    670   1147     43.3*   -------    -------    294   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/29  08:12:05    293     10    382     492    259      0    -72.6*   -------    -------    297   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/29  12:10:05     88     26    253     279    228      0     -6.9*   -------    -------     86   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/29  14:23:05     56     16    291     363    215      0    -18.4*   -------    -------     46   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/29  20:41:05     79     39    178     182    174    102     -0.9*   -------    -------     81   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/29  22:40:05     86     41    252     307    191      0    -17.6*   -------    -------     82   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/30  03:27:06    273     12   1053    1172    934      0   -115.8*   -------    -------    274   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/30  04:16:06    146     50    376     337    418    637     12.0*   -------    -------    147   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/30  04:37:06     79     55    316     390    240      0    -20.3*   -------    -------     80   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/30  12:19:05     86     31    287     410    169      0    -53.0*   -------    -------     82   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/30  14:53:06     83     15    237     433     26      0    -73.7*   -------    -------     83   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/30  16:17:05     87     32    293     247    341    840     26.3*   -------    -------     90   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/30  16:45:05     89     63    374     475    267      0    -36.8*   -------    -------     80   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/30  18:44:05    241    105    417     240    604   1219     59.6*   -------    -------    234   Fixed the MVI roll angle issue on 2026-01-30; Only C2
